id,timestamp_emision,symbol,direction,timeframe,entry_price,execution_price,stop_loss,target_1,target_2,target_3,source,tp1_hit_at,tp2_hit_at,tp3_hit_at,closed_at,close_reason,close_price,prev_hash,row_hash
1,2026-05-02T22:01:28Z,BTCUSDT,long,60,78719.78,,78345.67,79717.41,79842.11,80216.22,quantumblock,,,,2026-05-04T00:21:00Z,sl,78288.88,0000000000000000000000000000000000000000000000000000000000000000,d3b1ca9a530a73e4e3ad18b839632e83ffbf653449dd2cd0f34afb3b710dd8be
2,2026-05-03T12:01:38Z,BTCUSDT,long,60,78656.01,,78307.34,79585.79,79702.02,80050.69,quantumblock,,,,2026-05-04T00:21:00Z,sl,78288.88,d3b1ca9a530a73e4e3ad18b839632e83ffbf653449dd2cd0f34afb3b710dd8be,14f150a0c608984fcb972a4a6904a4be67e07774eff30dcc61430162605d90e1
3,2026-05-04T02:35:21Z,BTCUSDT,long,60,79769.0,,79184.0,81332.0,81527.0,82113.0,quantumblock,,,,2026-05-04T10:06:06Z,sl,79086.43,14f150a0c608984fcb972a4a6904a4be67e07774eff30dcc61430162605d90e1,ffaf28f16ad8af1a80e2672763ea1e02cd0d8a6d7f3dd4c6a9e668bf4a9a42c4
4,2026-05-04T11:01:32Z,BTCUSDT,short,60,78940.26,,79680.55,76966.16,76719.39,75979.1,quantumblock,,,,2026-05-04T14:46:47Z,sl,79685.92,ffaf28f16ad8af1a80e2672763ea1e02cd0d8a6d7f3dd4c6a9e668bf4a9a42c4,14c82aa792134e7424e15b4af9e14092494cfc903bc4afae505d3201522551af
5,2026-05-04T17:00:00Z,BTCUSDT,long,60,80025.03,,79073.0,82564.0,82882.0,83634.0,quantumblock,2026-05-06T11:18:12Z,,,2026-05-07T04:05:33Z,sl_after_tp1,80800.02,14c82aa792134e7424e15b4af9e14092494cfc903bc4afae505d3201522551af,c0a409ce47795ed49ae4884d5874ecc460cdaab06b2327e6636ad806bc78aca9
6,2026-05-09T17:01:32Z,BTCUSDT,long,60,80625.01,,80258.2,81603.18,81725.44,82092.25,quantumblock,2026-05-10T22:27:58Z,2026-05-10T22:33:03Z,2026-05-10T22:34:06Z,2026-05-10T22:34:06Z,tp3,82077.37,c0a409ce47795ed49ae4884d5874ecc460cdaab06b2327e6636ad806bc78aca9,9412b55ae07d0d3700b9376209a88e57aaacbcf7f2a27a1abe6756eae14b2766
7,2026-05-11T15:29:00Z,BTCUSDT,long,60,80953.38,,80339.6,81567.2,81976.4,82590.3,model,2026-05-11T16:09:00Z,2026-05-11T17:42:00Z,,2026-05-12T00:23:07Z,sl_after_tp2,81569.09,9412b55ae07d0d3700b9376209a88e57aaacbcf7f2a27a1abe6756eae14b2766,9aa24f523d46585f98b0dbc82ca6c493ad20a942a81a8146276cd400d9ed54d5
8,2026-05-12T01:37:21Z,BTCUSDT,short,60,81545.2,,82128.29,80962.11,80573.39,79990.3,quantumblock_model,2026-05-12T01:38:11Z,2026-05-12T11:06:47Z,,2026-05-12T12:38:52Z,sl_after_tp2,80969.19,9aa24f523d46585f98b0dbc82ca6c493ad20a942a81a8146276cd400d9ed54d5,0468aee69d9ef03e4dd281426717baecd27a4b664e02bac82cd01f282fbac6be
9,2026-05-13T17:44:11Z,BTCUSDT,long,60,79108.39,,78462.03,79754.75,80185.65,80832.0,quantumblock_model,2026-05-13T18:21:12Z,,,2026-05-14T03:08:22Z,sl_after_tp1,79186.01,0468aee69d9ef03e4dd281426717baecd27a4b664e02bac82cd01f282fbac6be,76ca24c12e8079a59a895e0b1f997b1d72243ec9c004a5775e179e2f7ea84216
10,2026-05-13T18:21:29Z,BTCUSDT,long,60,79514.97,,78865.89,80164.0,80596.77,81245.85,quantumblock_model,,,,,,,76ca24c12e8079a59a895e0b1f997b1d72243ec9c004a5775e179e2f7ea84216,d15db1fd6d833717552cd1590bcc9e27d8df428438d2d11a75f0a1fad7ffebbc
11,2026-05-14T05:47:04Z,BTCUSDT,long,60,79451.63,,78867.3,80036.0,80425.51,81009.84,quantumblock_model,2026-05-14T13:23:46Z,,,,,,d15db1fd6d833717552cd1590bcc9e27d8df428438d2d11a75f0a1fad7ffebbc,48552db549342ee67e05539d70b38f748084e9cbe8baa718ead1516ff00b8998
12,2026-05-14T13:13:11Z,BTCUSDT,long,60,79767.11,,79194.34,80339.9,80721.72,81294.49,quantumblock_model,,,,,,,48552db549342ee67e05539d70b38f748084e9cbe8baa718ead1516ff00b8998,e871dbf28a001ec8a559f627b08c1d9e2e136b521de6afe0a95c3397de23ad5e
